symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
ADBE,2019,2019-11-29,1672.72,491.572,6.33064,3268.121,9498.577,-83.73,2951.458,2954.413,2019-11-29,3204.741,250.328,1930.228,11171.297,3954.084,6230.456,20.35
ADBE,2018,2018-11-30,1194.999,497.843,5.57761,2840.369,7835.009,-86.401,2590.774,2776.774,2018-11-30,2793.876,17.102,1537.812,9030.008,3365.727,4994.64,39.908
ADBE,2017,2017-12-01,1010.491,501.123,3.38032,2168.095,6291.014,-54.194,1693.954,1693.954,2017-12-01,2137.641,443.687,1224.059,7301.505,2822.298,4122.919,23.74
ADBE,2016,2016-12-02,819.908,504.299,2.3152,1493.602,5034.522,-96.522,1168.782,1168.782,2016-12-02,1435.138,266.356,975.987,5854.43,2487.907,3540.9200000000005,38.058
ADBE,2015,2015-11-27,744.317,507.164,1.24353,903.095,4051.194,-51.639,629.551,629.551,2015-11-27,873.781,244.23,862.73,4795.511,2215.161,3148.099,22.325
ADBE,2014,2014-11-28,622,508,0.56,413,3525,-52,268,268,2014-11-28,361,93,844,4147,2196,3112,1
ADBE,2013,2013-11-29,587,513,0.61,423,3469,-68,290,290,2013-11-29,356,66,827,4055,2141,3046,1
ADBE,2012,2012-11-30,484,503,1.65,1180,3920,-61,833,833,2012-11-30,1119,286,743,4404,1951,2739,
ADBE,2011,2011-12-02,438,504,1.81,1099,3778,-64,833,833,2011-12-02,1035,202,738,4216,1800,2679,
ADBE,2010,2010-12-03,404,526,1.51,993,3396,-50,775,775,2010-12-03,943,168,680,3800,1628,2403,
ADBE,2009,2009-11-27,297,531,0.77,691,2649,11,387,387,2009-11-27,702,315,565,2946,1281,1958,
ADBE,2008,2008-11-28,363,549,1.64,1028,3217,50,872,872,2008-11-28,1079,207,662,3580,1427,2189,
ADBE,2007,2007-11-30,355,599,1.21,858,2803,90,724,724,2007-11-30,947,223,613,3158,1259,1945,
ADBE,2006,2006-12-01,292,612,0.85,551,2283,128,506,506,2006-12-01,680,174,540,2575,1102,1732,
ADBE,2005,2005-12-02,113,508,1.19,728,1854,37,603,603,2005-12-02,766,163,365,1966,760,1125,
ADBE,2004,2004-12-03,104,496,0.91,592,1562,17,450,450,2004-12-03,609,158,311,1667,659,971,
ADBE,2003,2003-11-28,93,483,0.55,379,1202,1,266,266,2003-11-28,380,114,277,1295,546,822,
ADBE,2002,2002-11-29,104,486,0.41,287,1061,-2,191,191,2002-11-29,285,93,246,1165,489,774,
ADBE,2001,2001-11-30,81,498,0.43,378,1148,-72,206,206,2001-11-30,307,101,224,1230,519,770,
ADBE,2000,2000-12-01,87,512,0.57,408,1179,36,288,288,2000-12-01,444,156,240,1266,518,771,
ADBE,1999,1999-12-03,95,517,0.51,260,921,115,238,238,1999-12-03,374,137,197,1015,432,661,
ADBE,1998,1998-11-27,111,544,0.24,125,783,42,105,105,1998-11-27,168,63,207,895,412,658,
ADBE,1997,1997-11-28,126,593,0.32,231,786,65,187,187,1997-11-28,296,109,171,912,379,555,
ADBE,1996,1996-11-29,141,601,0.3,147,645,98,153,153,1996-11-29,245,92,153,787,317,499,
ADBE,1995,1995-12-01,130,594,0.21,135,632,29,93,93,1995-12-01,164,70,139,762,301,498,
ADBE,1994,1994-11-25,112,49,1.39,31,486,9,6,6,1994-11-25,40,34,99,598,255,455,
ADBE,1993,1993-11-26,55,481,0.12,81,258,10,57,57,1993-11-26,91,34,65,313,112,177,
ADBE,1992,1992-11-27,48,373,0.13,68,217,1,44,44,1992-11-27,70,26,50,266,93,150,
ADBE,1991,1991-11-29,44,367,0.14,78,186,6,52,52,1991-11-29,84,32,33,230,75,108,
ADBE,1990,1990-11-30,30,351,0.11,62,138,4,40,40,1990-11-30,66,26,20,169,56,77,
ADBE,1989,1989-11-30,19,347,0.1,52,102,3,34,34,1989-11-30,55,21,13,121,37,51,
ADBE,1988,1988-11-30,15,344,0.06,34,69,2,21,21,1988-11-30,36,15,7,83,27,34,
ADBE,1987,1987-11-30,6,337,0.03,16,34,1,9,9,1987-11-30,17,8,4,39,13,17,
ADBE,1986,1986-11-30,2,303,0.01,7,14,0,4,4,1986-11-30,7,4,3,16,5,7,
ADBE,1985,1985-11-30,0,290,0,1,4,0,0,0,1985-11-30,1,0,2,5,2,4,
ADBE,1984,1984-11-30,0,173,0,0,2,0,0,0,1984-11-30,0,0,1,2,1,2,
BABA,2020,2020-03-31,279713,21346,8.47808,79412,229998,79183,149263,146083,2020-03-31,166645,20562,43080,509711,78870,150586,8050
BABA,2019,2019-03-31,204086,20984,4.90326,45870,172758,47916,87600,79668,2019-03-31,96221,16553,37435,376844,64669,126888,2435
BABA,2018,2018-03-31,106243,20880,4.10824,67297,144023,27003,63985,82204,2018-03-31,100403,18199,22754,250266,43540,76726,6103
BABA,2017,2017-03-31,58626,20584,2.29644,45666,99647,10341,43675,46253,2017-03-31,60029,13776,17060,158273,28553,53981,4022
BABA,2016,2016-03-31,34355,20496,3.59949,27936,66788,51210,71460,73019,2016-03-31,81468,8449,13788,101143,20512,38852,2322
BABA,2015,2015-03-31,23834,20000,1.23126,22716,52370,7124,24261,25910,2015-03-31,32326,6416,10658,76204,16313,29654,2486
BABA,2014,2014-03-31,13369,18656,1.24,24801,39135,-428,23315,23606,2014-03-31,26802,3196,5093,52504,8763,14334,2429
BABA,2013,2013-03-31,9719,19112,0.61,10506,24798,-1288,8532,8655,2013-03-31,10112,1457,3753,34517,6502,14292,894
BABA,2012,2012-03-31,6554,20176,0.22,4944,13471,261,4228,4690,2012-03-31,5532,842,2897,20025,5269,8527,327
BABA,2011,2011-03-31,3497,19720,0.06,1322,8406,545,1183,1608,2011-03-31,1935,327,2062,11903,4878,7084,68
BABA,2010,2010-03-31,1634,18872,0,-873,5036,384,-802,-470,2010-03-31,-289,181,1135,6670,3335,5909,200
GOOGL,2019,2019-12-31,71896,698.556,51.26832,34231,89961,5473,34343,34343,2019-12-31,39625,5282,26018,161857,28015,55730,-79
GOOGL,2018,2018-12-31,59549,703.285,50.05127,27524,77270,8383,30736,30736,2018-12-31,34913,4177,21419,136819,23256,49746,-994
GOOGL,2017,2017-12-31,45583,703.584,35.17478,26178,65272,765,12662,22486,2017-12-31,27193,4707,16625,110855,19733,39094,250
GOOGL,2016,2016-12-31,35138,698.706,27.87725,23716,55134,90,19478,19478,2016-12-31,24150,4672,13948,90272,17470,31418,344
GOOGL,2015,2015-12-31,28164,692.93,22.83925,19360,46825,35,16348,16348,2015-12-31,19651,3303,12282,74989,15183,27465,256
GOOGL,2014,2014-12-31,25313,687,20.26,16496,40688,585,14136,13620,2014-12-31,17259,3639,9832,66001,13982,24192,178
GOOGL,2013,2013-12-31,21993,737,17.92,15403,33526,305,12733,13160,2013-12-31,15899,2739,7137,55519,10986,18123,248
GOOGL,2012,2012-12-31,17176,665,17.16,13834,28863,-145,10737,11553,2012-12-31,14469,2916,6083,46039,8946,15029,592
GOOGL,2011,2011-12-31,13188,654,15.61,11632,24717,629,9737,9737,2011-12-31,12326,2589,5162,37905,7313,13085,65
GOOGL,2010,2010-12-31,10417,647,13.16,10381,18904,404,8505,8505,2010-12-31,10796,2291,3762,29321,4761,8523,11
GOOGL,2009,2009-12-31,8844,639,10.21,8312,14806,67,6520,6520,2009-12-31,8381,1861,2843,23651,3651,6494,2
GOOGL,2008,2008-12-31,8622,635,7.9,5537,13174,312,4227,4227,2008-12-31,5854,1627,2793,21796,3749,7636,5
GOOGL,2007,2007-12-31,6649,632,6.65,5084,9945,594,4204,4204,2007-12-31,5674,1470,2120,16594,2741,4861,-5
GOOGL,2006,2006-12-31,4225,619,4.97,3550,6380,458,3077,3077,2006-12-31,4011,934,1229,10605,1601,2830,3
GOOGL,2005,2005-12-31,2577,584,2.62,2017,3561,120,1465,1465,2005-12-31,2142,676,600,6139,855,1544,4
GOOGL,2004,2004-12-31,1469,546,0.96,640,1720,15,399,399,2004-12-31,650,251,395,3189,484,1080,-5
GOOGL,2003,2003-12-31,634,513,0.21,342,832,1,106,106,2003-12-31,347,241,230,1466,259,489,3
GOOGL,2002,2002-12-31,133,441,0.23,186,307,-1,100,100,2002-12-31,185,85,40,440,80,120,0
GOOGL,2001,2001-12-31,15,374,0.02,11,71,-1,7,7,2001-12-31,10,3,21,86,39,60,0
GOOGL,2000,2000-12-31,6,134,-0.11,-15,13,,-15,-15,2000-12-31,-15,0,12,19,16,28,0
GOOGL,1999,1999-12-31,1,85,-0.07,-7,-1,,-6,-6,1999-12-31,-6,0,3,0,3,6,0
AAPL,2019,2019-09-28,161782,18595.652,2.97145,63930,98392,1385,55256,55256,2019-09-28,65737,10481,16217,260174,18245,34462,422
AAPL,2018,2018-09-29,163756,20000.436,3.05148,70898,101839,2446,59531,61031,2018-09-29,72903,11872,14236,265595,16705,30941,-441
AAPL,2017,2017-09-30,141048,21006.768,2.30169,61344,88186,2878,48351,48351,2017-09-30,64089,15738,11581,229234,15261,26842,-133
AAPL,2016,2016-09-24,131376,22001.124,2.07658,60024,84263,2543,45687,45687,2016-09-24,61372,15685,10045,215639,14194,24239,-1195
AAPL,2015,2015-09-26,140089,23172.276,2.30422,71230,93626,2188,53394,53394,2015-09-26,72515,19121,8067,233715,14329,22396,-903
AAPL,2014,2014-09-27,112258,6123,6.45,52503,70537,1291,39510,39510,2014-09-27,53483,13973,6041,182795,11993,18034,-311
AAPL,2013,2013-09-28,106606,6522,5.68,48999,64304,1180,37037,37037,2013-09-28,50155,13118,4475,170910,10830,15305,-24
AAPL,2012,2012-09-29,87846,6617,6.31,55241,68662,1088,41733,41733,2012-09-29,55763,14030,3381,156508,10040,13421,-566
AAPL,2011,2011-09-24,64431,6557,3.95,33790,43818,519,25922,25922,2011-09-24,34205,8283,2429,108249,7599,10028,-104
AAPL,2010,2010-09-25,39541,6473,2.16,18385,25684,311,14013,14013,2010-09-25,18540,4527,1782,65225,5517,7299,-156
AAPL,2009,2009-09-26,25683,6349,1.3,11740,17222,407,8235,8235,2009-09-26,12066,3831,1333,42905,4149,5482,-81
AAPL,2008,2008-09-27,21334,6315,0.77,6275,11145,653,4834,4834,2008-09-27,6895,2061,1109,32479,3761,4870,-33
AAPL,2007,2007-09-29,15852,6225,0.56,4409,8154,647,3496,3496,2007-09-29,5008,1512,782,24006,2963,3745,-48
AAPL,2006,2006-09-30,13717,6143,0.32,2453,5598,394,1989,1989,2006-09-30,2818,829,712,19315,2433,3145,-29
AAPL,2005,2005-09-24,9888,5997,0.22,1650,4043,183,1335,1335,2005-09-24,1815,480,534,13931,1859,2393,-18
AAPL,2004,2004-09-25,6020,5422,0.05,326,2259,66,276,276,2004-09-25,383,107,489,8279,1421,1933,-9
AAPL,2003,2003-09-27,4499,5089,0.02,-1,1708,92,69,68,2003-09-27,92,24,471,6207,1212,1709,1
AAPL,2002,2002-09-28,4139,5065,0.02,17,1603,65,65,65,2002-09-28,87,22,446,5742,1109,1586,5
AAPL,2001,2001-09-29,4128,4839,0,-344,1235,277,-25,-37,2001-09-29,-52,-15,430,5363,1138,1579,15
AAPL,2000,2000-09-30,5817,5045,0.16,522,2166,556,786,786,2000-09-30,1092,306,380,7983,1256,1644,14
AAPL,1999,1999-09-25,4438,4877,0.14,359,1696,327,601,601,1999-09-25,676,75,314,6134,996,1337,-10
AAPL,1998,1998-09-25,4462,4702,0.08,261,1479,78,309,309,1998-09-25,329,20,303,5941,908,1218,-10
AAPL,1997,1997-09-26,5713,3530,-0.11,-1070,1368,11,-1045,-1045,1997-09-26,-1045,0,485,7081,1286,2438,14
AAPL,1996,1996-09-27,8865,3465,-0.2,-1383,968,0,-816,-816,1996-09-27,-1295,-479,604,9833,1568,2351,88
AAPL,1995,1995-09-29,8204,3445,0.12,684,2858,52,424,424,1995-09-29,674,250,614,11062,1583,2174,-62
AAPL,1994,1994-09-30,6845,3325,0.07,522,2344,4,310,310,1994-09-30,500,190,564,9189,1384,1821,-26
AAPL,1993,1993-09-24,5249,3340,0.09,110,2728,58,87,87,1993-09-24,140,53,665,7977,1632,2618,-29
AAPL,1992,1992-09-25,3991,3430,0.15,806,3095,63,530,530,1992-09-25,855,325,602,7087,1687,2290,-13
AAPL,1991,1991-09-27,3314,3368,0.13,447,2995,0,310,310,1991-09-27,500,190,583,6309,1740,2548,52
AAPL,1990,1990-09-28,2606,3523,0.14,712,2952,0,475,475,1990-09-28,779,304,478,5558,1729,2240,67
AAPL,1989,1989-09-29,2695,3603,0.13,634,2589,0,454,454,1989-09-29,744,290,420,5284,1535,1955,110
AAPL,1988,1988-09-30,1991,3637,0.11,620,2080,0,400,400,1988-09-30,656,256,273,4071,1188,1460,36
AAPL,1987,1987-09-25,1296,3685,0.06,371,1365,0,217,217,1987-09-25,410,193,192,2661,802,994,39
AAPL,1986,1986-09-26,891,3602,0.04,274,1011,0,154,154,1986-09-26,310,156,128,1902,609,737,36
AAPL,1985,1985-09-27,1118,3466,0.02,103,800,0,61,61,1985-09-27,120,59,73,1918,588,698,17
AAPL,1984,1984-09-28,879,3410,0.02,86,637,0,64,64,1984-09-28,109,45,71,1516,480,551,23
AAPL,1983,1983-09-30,506,3353,0.02,130,477,0,77,77,1983-09-30,146,69,60,983,287,347,16
ANET,2019,2019-12-31,866.368,80.879,10.62659,805.774,1544.338,56.571,859.867,859.867,2019-12-31,862.27,2.403,462.759,2410.706,275.805,738.564,-0.075
ANET,2018,2018-12-31,777.992,80.844,7.38819,273.347,1373.377,15.165,328.115,334.215,2018-12-31,288.801,-45.414,442.468,2151.369,252.562,1100.03,0.289
ANET,2017,2017-12-31,584.417,78.977,6.00514,470.272,1061.769,-2.78,423.201,475.001,2017-12-31,474.76,-0.241,349.594,1646.186,241.903,591.497,7.268
ANET,2016,2016-12-31,406.051,73.222,2.49978,243.409,723.116,-3.136,184.189,184.189,2016-12-31,242.225,58.036,273.581,1129.167,206.126,479.70700000000005,1.952
ANET,2015,2015-12-31,294.031,71.411,1.67011,149.308,543.56,-3.152,121.102,121.102,2015-12-31,146.009,24.907,209.448,837.591,184.804,394.252,-0.147
ANET,2014,2014-12-31,192,54.6,1.29,125.5,392.1,-6.3,86.9,86.9,2014-12-31,121.5,34.7,148.9,584.1,117.7,266.6,2.3
ANET,2013,2013-12-31,122.7,30.1,0.72,66.1,238.5,-7.1,42.5,42.5,2013-12-31,58.3,15.8,98.6,361.2,73.8,172.40000000000003,-0.8
ANET,2012,2012-12-31,61.3,24.9,0.39,39.9,132.2,-7.1,21.3,21.3,2012-12-31,33,11.6,55.2,193.4,37.1,92.2,0.1
ANET,2011,2011-12-31,43.4,63.9,0.53,44.4,96.5,-6.4,34,34,2011-12-31,37.6,3.6,26.4,139.8,25.7,52.00000000000001,-0.4
ANET,2010,2010-12-31,27.2,63.9,0.04,16.1,44.5,-12.6,2.4,2.4,2010-12-31,3.3,0.9,16.3,71.7,12.2,28.500000000000004,-0.1
BIDU,2019,2019-12-31,62850,34.88485,232.37019,7108,44563,1813,1980,-2288,2019-12-31,-340,1948,18346,107413,19910,37455,-9261
BIDU,2018,2018-12-31,51744,35.17104,661.84644,21030,50533,2367,27443,22582,2018-12-31,27325,4743,15772,102277,19231,29503,3928
BIDU,2017,2017-12-31,43062,34.95239,537.08937,15691,41747,994,18318,18288,2017-12-31,21283,2995,12928,84809,13128,26056,4598
BIDU,2016,2016-12-31,35278.945,34.75709,318.64024,10049.08,35270.419,666.654,11074.351,11595.613,2016-12-31,14509.207,2913.594,10150.753,70549.364,15070.586,25221.339,3793.473
BIDU,2015,2015-12-31,27458.03,35.03447,951.49129,11671.554,38923.699,1506.907,33334.993,32432.246,2015-12-31,37906.623,5474.377,10175.762,66381.729,17076.383,27252.145000000004,24728.162
BIDU,2014,2014-12-31,18885.45,35.19847,373.47153,12803.764,30166.868,1420.084,13144.249,12253.234,2014-12-31,14484.406,2231.172,6980.962,49052.318,10382.142,17363.103999999996,260.558
BIDU,2013,2013-12-31,11472,35,299.48,11192,20472,807,10487,10356,2013-12-31,12185,1829,4107,31944,5174,9280,186
BIDU,2012,2012-12-31,6449,35,298.92,11051,15857,460,10456,10391,2012-12-31,11965,1574,2305,22306,2501,4806,454
BIDU,2011,2011-12-31,3897,35,189.88,7577,10604,154,6639,6620,2011-12-31,7809,1189,1334,14501,1693,3027,78
BIDU,2010,2010-12-31,2149,35,100.96,3959,5766,58,3525,3525,2010-12-31,4061,536,718,7915,1089,1807,44
BIDU,2009,2009-12-31,1616,35,42.7,1605,2832,32,1485,1485,2009-12-31,1683,198,423,4448,804,1227,46
BIDU,2008,2008-12-31,1155,35,30.19,1097,2043,46,1048,1048,2008-12-31,1164,116,286,3198,660,947,22
BIDU,2007,2007-12-31,645,35,18.11,547,1099,47,629,629,2007-12-31,616,-13,141,1744,411,552,22
BIDU,2006,2006-12-31,245,35,8.61,263,592,42,302,297,2006-12-31,309,12,79,838,250,330,4
BIDU,2005,2005-12-31,103,32,1.49,36,216,13,48,48,2005-12-31,50,2,68,319,112,180,1
BIDU,2004,2004-12-31,33,28,0.43,11,78,1,12,12,2004-12-31,12,0,28,111,39,67,0
BIDU,2003,2003-12-31,21,10,-0.87,-9,18,0,-9,-9,2003-12-31,-9,0,10,39,17,27,0
BIDU,2002,2002-12-31,10,8,-2.44,-19,1,1,-19,-19,2002-12-31,-19,0,8,11,12,20,0
BNFT,2019,2019-12-31,144.09,32.53975,-1.36909,-24.506,151.596,-20.911,-45.515,-45.515,2019-12-31,-45.488,0.027,54.724,295.686,117.266,176.102,-0.071
BNFT,2018,2018-12-31,129.277,31.75642,-1.65721,-39.699,129.444,-12.906,-52.627,-52.627,2018-12-31,-52.599,0.028,47.902,258.721,117.024,169.14300000000003,0.006
BNFT,2017,2017-12-31,127.382,31.05238,-1.61965,-37.94,109.46,-12.199,-50.294,-50.294,2017-12-31,-50.279,0.015,49.549,236.842,93.363,147.39999999999998,-0.14
BNFT,2016,2016-12-31,123.308,29.58986,-1.36351,-32.456,113.215,-7.783,-40.346,-40.346,2016-12-31,-40.329,0.017,56.61,236.523,84.713,145.671,-0.09
BNFT,2015,2015-12-31,102.851,28.34468,-2.19032,-54.274,82.292,-7.781,-62.084,-62.084,2015-12-31,-62.059,0.025,52.25,185.143,84.316,136.566,-0.004
BNFT,2014,2014-12-31,87.47,25.2071,-2.5064,-58.903,49.95,-4.229,-63.179,-63.179,2014-12-31,-63.154,0.025,41.729,137.42,67.124,108.85300000000001,-0.022
CTSH,2019,2019-12-31,10634,560,4.34286,2453,6149,85,1842,1900,2019-12-31,2543,643,,16783,2972,3696,5
CTSH,2018,2018-12-31,9838,584,3.81595,2801,6287,-2,2101,2094,2018-12-31,2797,703,,16125,3007,3486,-2
CTSH,2017,2017-12-31,8920,595,3.66128,2481,5890,177,1504,2119,2017-12-31,2655,536,,14810,2677,3409,-3
CTSH,2016,2016-12-31,8025,610,2.5459,2289,5462,66,1553,1552,2016-12-31,2357,805,,13487,2728,3173,2
CTSH,2015,2015-12-31,7423.2,613.3,2.64732,2142,4992.8,23.4,1623.6,1623.6,2015-12-31,2163.6,540,,12416,2520.5,2850.8,-1.8
CTSH,2014,2014-12-31,6025,612,2.35,1885,4237,40,1439,1439,2014-12-31,1924,485,,10263,2037,2353,0
CTSH,2013,2013-12-31,5044,610,2.02,1678,3799,8,1229,1229,2013-12-31,1688,459,,8843,1728,2121,2
CTSH,2012,2012-12-31,4278,612,1.72,1361,3068,24,1051,1051,2012-12-31,1388,336,,7346,1558,1707,2
CTSH,2011,2011-12-31,3539,621,1.42,1136,2583,30,884,884,2011-12-31,1169,286,,6121,1329,1446,2
CTSH,2010,2010-12-31,2655,618,1.19,862,1938,16,734,734,2010-12-31,879,145,,4592,972,1076,1
CTSH,2009,2009-12-31,1849,602,0.89,618,1429,18,535,535,2009-12-31,637,102,,3279,721,811,1
CTSH,2008,2008-12-31,1573,598,0.72,517,1243,22,431,431,2008-12-31,515,84,,2816,652,727,-24
CTSH,2007,2007-12-31,1206,607,0.58,382,930,30,350,350,2007-12-31,414,64,,2136,494,548,3
CTSH,2006,2006-12-31,788,602,0.39,259,636,18,233,233,2006-12-31,278,45,,1424,343,377,1
CTSH,2005,2005-12-31,480,588,0.28,178,406,9,166,166,2005-12-31,185,19,,886,207,228,-1
CTSH,2004,2004-12-31,320,570,0.18,118,267,4,100,100,2004-12-31,122,22,,587,133,149,0
CTSH,2003,2003-12-31,200,543,0.11,70,169,2,57,57,2003-12-31,72,15,,368,84,98,0
CTSH,2002,2002-12-31,123,510,0.07,44,106,2,35,35,2002-12-31,45,11,,229,53,63,0
CTSH,2001,2001-12-31,91,489,0.05,34,87,3,22,22,2001-12-31,35,13,,178,45,53,-1
CTSH,2000,2000-12-31,70,486,0.04,26,67,3,18,18,2000-12-31,28,11,,137,36,41,-1
CTSH,1999,1999-12-31,46,466,0.02,17,43,1,11,11,1999-12-31,18,7,,89,23,26,0
CTSH,1998,1998-12-31,32,397,0.02,9,27,1,6,6,1998-12-31,10,4,,59,16,18,0
CTSH,1997,1997-12-31,14,317,0,2,10,0,1,2,1997-12-31,2,1,,25,7,9,0
CTSH,1996,1996-12-31,6,312,0,1,6,0,1,1,1996-12-31,1,0,,12,4,5,0
CTSH,1995,1995-12-31,4,312,0,1,4,0,0,1,1995-12-31,1,0,,7,2,2,0
CTSH,1994,1994-12-31,1,312,0,0,1,0,0,0,1994-12-31,0,0,,2,1,1,0
DXC,2020,2020-03-31,14901,258.57,-3.84383,-5072,4676,-156,-5369,-5358.7,2020-03-31,-5228,130.7,,19577,1732,9748,
