ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,S&P Global Inc.,Financials
CRM,Salesforce.com,Information Technology
SBAC,SBA Communications,Real Estate
SLB,Schlumberger Ltd.,Energy
STX,Seagate Technology,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
NOW,ServiceNow,Information Technology
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group Inc,Real Estate
SWKS,Skyworks Solutions,Information Technology
SLG,SL Green Realty,Real Estate
SNA,Snap-on,Industrials
SO,Southern Company,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
SBUX,Starbucks Corp.,Consumer Discretionary
STT,State Street Corp.,Financials
STE,STERIS plc,Health Care
SYK,Stryker Corp.,Health Care
SIVB,SVB Financial,Financials
SYF,Synchrony Financial,Financials
SNPS,Synopsys Inc.,Information Technology
SYY,Sysco Corp.,Consumer Staples
TMUS,T-Mobile US,Communication Services
TROW,T. Rowe Price Group,Financials
TTWO,Take-Two Interactive,Communication Services
TPR,Tapestry Inc.,Consumer Discretionary
TGT,Target Corp.,Consumer Discretionary
TEL,TE Connectivity Ltd.,Information Technology
FTI,TechnipFMC,Energy
TDY,Teledyne Technologies,Industrials
TFX,Teleflex,Health Care
TXN,Texas Instruments,Information Technology
TXT,Textron Inc.,Industrials
BK,The Bank of New York Mellon,Financials
CLX,The Clorox Company,Consumer Staples
COO,The Cooper Companies,Health Care
HSY,The Hershey Company,Consumer Staples
MOS,The Mosaic Company,Materials
TRV,The Travelers Companies Inc.,Financials
DIS,The Walt Disney Company,Communication Services
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co.,Consumer Discretionary
TJX,TJX Companies Inc.,Consumer Discretionary
TSCO,Tractor Supply Company,Consumer Discretionary
TT,Trane Technologies plc,Industrials
TDG,TransDigm Group,Industrials